date,sentiment,daily_pnl,daily_volume,n_trades
2024-05-24,Greed,821.949278,50811.899999999994,2
2024-05-25,Extreme Greed,14.126038999999999,29991.129999999997,16
2024-05-26,Extreme Greed,778.6839,53976.67,16
2024-05-27,Greed,1129.35587,151115.72,251
2024-05-29,Greed,277.791953,84268.76,164
2024-05-30,Greed,20.951433,2838.09,7
2024-05-31,Greed,25.35812,3636.14,13
2024-06-01,Greed,91.510419,12834.62,25
2024-06-02,Greed,192.906947,29464.51,93
2024-06-03,Greed,562.808208,21466.86,70
2024-06-04,Greed,52.211438,24243.41,53
2024-06-05,Extreme Greed,56.055506,25350.77,54
2024-06-06,Extreme Greed,274.173187,137557.76,234
2024-06-07,Extreme Greed,8902.467416,1098588.76,440
2024-06-08,Greed,129.13883900000002,97351.88,29
2024-06-09,Extreme Greed,0.0,22410.22,17
2024-06-10,Greed,31.266804999999998,46587.93,53
2024-06-11,Greed,4320.631811,373279.92,123
2024-06-12,Greed,-21886.531493,193407.96,254
2024-06-13,Greed,6632.757115,132577.22,79
2024-06-14,Greed,10258.592609,139868.66,31
2024-06-15,Greed,3369.958346,718350.25,78
2024-06-16,Greed,0.0,25235.079999999998,11
2024-06-17,Greed,10599.502375,368380.12,38
2024-06-18,Greed,282.57636,263314.79,25
2024-06-19,Greed,4887.656944,417071.12,61
2024-06-20,Greed,57478.456026,207990.8,39
2024-06-21,Greed,773.5582039999999,176264.49,80
2024-06-22,Neutral,756.876565,169594.27000000002,24
2024-06-23,Greed,0.0,1792.12,5
2024-06-24,Neutral,0.0,403002.8,31
2024-06-25,Fear,4869.353105,103099.08,49
2024-06-26,Neutral,4197.732182,365190.66000000003,72
2024-06-27,Fear,0.0,130486.95,30
2024-06-29,Fear,6150.326145,280095.11,75
2024-06-30,Neutral,0.0,30520.69,14
2024-07-01,Neutral,5065.839308,362670.14999999997,64
2024-07-02,Neutral,2421.253116,33347.47,18
2024-07-03,Neutral,1118.387284,179600.66,18
